name,커피·음료 경험,디저트·베이커리 경험,공간·분위기 경험
WAAAH,0.09215,0.573379,0.334471
고스카페,0.247059,0.123529,0.629412
까페항상,0.331117,0.256649,0.412234
드리프트우드,0.104265,0.037915,0.85782
림폴커피,0.37037,0.101852,0.527778
매드베이커리,0.227513,0.312169,0.460317
메모러블모먼트,0.45701,0.160341,0.382649
멜티스,0.188406,0.59058,0.221014
미도리카페,0.201389,0.458333,0.340278
미드데이썬,0.048193,0.307229,0.644578
벌스커피,0.248598,0.269159,0.482243
브랜뉴하이몬드,0.104225,0.740845,0.15493
브리에,0.129032,0.367742,0.503226
세브,0.064593,0.811005,0.124402
센서리티커피,0.203994,0.238231,0.557775
스윗테리언,0.157258,0.485887,0.356855
아티초크라보,0.168116,0.608696,0.223188
안나보아트카페,0.162461,0.547319,0.290221
애크로매틱커피,0.580038,0.106403,0.313559
언톨드,0.177936,0.313167,0.508897
에이프리카페,0.521151,0.279188,0.199662
오뜨르,0.064368,0.816858,0.118774
오베르캄프,0.096402,0.785472,0.118126
원베러커피,0.09215,0.617747,0.290102
율베이커리,0.098413,0.757143,0.144444
체스우드커피,0.365019,0.129278,0.505703
카페 오텀,0.119174,0.381491,0.499334
카페담금,0.114995,0.277829,0.607176
카페희희,0.214286,0.504608,0.281106
커피몽타주,0.52921,0.182131,0.28866
타이즈커피,0.097046,0.240506,0.662447
페를리블랑제리,0.078086,0.755668,0.166247
페이브베이커리,0.22623,0.422951,0.35082
피터베이커리,0.142857,0.547619,0.309524
화선연,0.685271,0.103876,0.210853
히든브라운,0.135417,0.504167,0.360417
힙힙허레이,0.054545,0.806061,0.139394
