name,커피·음료 경험,디저트·베이커리 경험,공간·분위기 경험,cluster,cluster_name
WAAAH,0.09215017064846416,0.5733788395904437,0.33447098976109213,2,디저트·베이커리 중심형
고스카페,0.24705882352941178,0.12352941176470589,0.6294117647058823,1,공간·분위기 중심형
까페항상,0.33111702127659576,0.2566489361702128,0.4122340425531915,1,공간·분위기 중심형
드리프트우드,0.10426540284360189,0.037914691943127965,0.8578199052132701,1,공간·분위기 중심형
림폴커피,0.37037037037037035,0.10185185185185185,0.5277777777777778,1,공간·분위기 중심형
매드베이커리,0.2275132275132275,0.31216931216931215,0.4603174603174603,1,공간·분위기 중심형
메모러블모먼트,0.45701006971340047,0.1603408210689388,0.3826491092176607,3,커피·음료 중심형
멜티스,0.18840579710144928,0.5905797101449275,0.2210144927536232,2,디저트·베이커리 중심형
미도리카페,0.2013888888888889,0.4583333333333333,0.3402777777777778,2,디저트·베이커리 중심형
미드데이썬,0.04819277108433735,0.3072289156626506,0.6445783132530121,1,공간·분위기 중심형
벌스커피,0.2485981308411215,0.2691588785046729,0.4822429906542056,1,공간·분위기 중심형
브랜뉴하이몬드,0.10422535211267606,0.7408450704225352,0.15492957746478872,0,베이커리 특화형
브리에,0.12903225806451613,0.36774193548387096,0.5032258064516129,1,공간·분위기 중심형
세브,0.0645933014354067,0.8110047846889952,0.12440191387559808,0,베이커리 특화형
센서리티커피,0.20399429386590584,0.23823109843081314,0.557774607703281,1,공간·분위기 중심형
스윗테리언,0.15725806451612903,0.48588709677419356,0.35685483870967744,2,디저트·베이커리 중심형
아티초크라보,0.1681159420289855,0.6086956521739131,0.22318840579710145,2,디저트·베이커리 중심형
안나보아트카페,0.16246056782334384,0.5473186119873817,0.2902208201892745,2,디저트·베이커리 중심형
애크로매틱커피,0.5800376647834274,0.1064030131826742,0.3135593220338983,3,커피·음료 중심형
언톨드,0.17793594306049823,0.31316725978647686,0.5088967971530249,1,공간·분위기 중심형
에이프리카페,0.5211505922165821,0.27918781725888325,0.1996615905245347,3,커피·음료 중심형
오뜨르,0.06436781609195402,0.8168582375478928,0.11877394636015326,0,베이커리 특화형
오베르캄프,0.09640190088255261,0.7854718262050238,0.11812627291242363,0,베이커리 특화형
원베러커피,0.09215017064846416,0.6177474402730375,0.2901023890784983,2,디저트·베이커리 중심형
율베이커리,0.09841269841269841,0.7571428571428571,0.14444444444444443,0,베이커리 특화형
체스우드커피,0.3650190114068441,0.12927756653992395,0.5057034220532319,1,공간·분위기 중심형
카페 오텀,0.11917443408788282,0.381491344873502,0.4993342210386152,1,공간·분위기 중심형
카페담금,0.11499540018399264,0.2778288868445262,0.6071757129714811,1,공간·분위기 중심형
카페희희,0.21428571428571427,0.5046082949308756,0.28110599078341014,2,디저트·베이커리 중심형
커피몽타주,0.5292096219931272,0.18213058419243985,0.28865979381443296,3,커피·음료 중심형
타이즈커피,0.0970464135021097,0.24050632911392406,0.6624472573839663,1,공간·분위기 중심형
페를리블랑제리,0.07808564231738035,0.7556675062972292,0.16624685138539042,0,베이커리 특화형
페이브베이커리,0.2262295081967213,0.42295081967213116,0.35081967213114756,2,디저트·베이커리 중심형
피터베이커리,0.14285714285714285,0.5476190476190477,0.30952380952380953,2,디저트·베이커리 중심형
화선연,0.6852713178294574,0.10387596899224806,0.21085271317829457,3,커피·음료 중심형
히든브라운,0.13541666666666666,0.5041666666666667,0.36041666666666666,2,디저트·베이커리 중심형
힙힙허레이,0.05454545454545454,0.806060606060606,0.1393939393939394,0,베이커리 특화형
